Local time,Open,High,Low,Close,Volume
30.10.2018 06:15:00.000 GMT+0530,76.724,76.827,76.724,76.797,0.0169
30.10.2018 06:20:00.000 GMT+0530,76.794,76.844,76.729,76.757,0.0188
30.10.2018 06:25:00.000 GMT+0530,76.757,76.768,76.724,76.734,0.018500000000000003
30.10.2018 06:30:00.000 GMT+0530,76.745,76.926,76.741,76.915,0.0031999999999999997
30.10.2018 06:35:00.000 GMT+0530,76.920,76.921,76.900,76.901,0.0024000000000000002
30.10.2018 06:40:00.000 GMT+0530,76.905,76.916,76.894,76.911,0.0014
30.10.2018 06:45:00.000 GMT+0530,76.925,76.931,76.900,76.901,0.0022
30.10.2018 06:50:00.000 GMT+0530,76.905,76.905,76.881,76.881,0.0021999999999999997
30.10.2018 06:55:00.000 GMT+0530,76.905,76.945,76.881,76.910,0.0023
30.10.2018 07:00:00.000 GMT+0530,76.910,76.945,76.890,76.890,0.0023
30.10.2018 07:05:00.000 GMT+0530,76.841,76.881,76.841,76.881,0
30.10.2018 07:10:00.000 GMT+0530,76.881,76.901,76.881,76.894,0.0018
30.10.2018 07:15:00.000 GMT+0530,76.890,76.915,76.881,76.881,0.0029
30.10.2018 07:20:00.000 GMT+0530,76.881,76.921,76.881,76.921,0.0012
30.10.2018 07:25:00.000 GMT+0530,76.910,76.951,76.890,76.936,0.0026
30.10.2018 07:30:00.000 GMT+0530,76.955,76.966,76.910,76.941,0.0032
30.10.2018 07:35:00.000 GMT+0530,76.935,76.950,76.900,76.905,0.0024999999999999996
30.10.2018 07:40:00.000 GMT+0530,76.910,76.925,76.904,76.920,0.0021
30.10.2018 07:45:00.000 GMT+0530,76.910,76.929,76.904,76.910,0.0021
30.10.2018 07:50:00.000 GMT+0530,76.905,76.941,76.881,76.890,0.0024000000000000002
30.10.2018 07:55:00.000 GMT+0530,76.886,76.905,76.881,76.900,0.0005
30.10.2018 08:00:00.000 GMT+0530,76.910,77.005,76.910,76.970,0.0025
